class	typeFreq	Stem1	Stem2	Stem3	Stem4	Stem5	Stem6	Stem7	Stem8	Stem9	Stem10	Stem10a	Stem11	Stem12	Stem13	Stem14	Stem15	Stem16	Stem17	Stem18	Stem19
C55	12	-ɛ	-ɛ	-ɛs	-ɛs	-ɛs	-ɛs	-ɛsj	-y	-y	-ɛt	-ɛtʁi	-ɛs	-ɛsj	-ɛ	-ɛs	-ɛs	-ɛtʁ	-ɛs	-y	-y
C56	2	-ɛ	-ɛ	-ɛs	-ɛs	-ɛs	-ɛs	-ɛsj	-aki	-aki	-ɛt	-ɛtʁi	-ɛs	-ɛsj	-ɛ	-ɛs	-ɛs	-ɛtʁ	-ɛs	-e	-e
C58	4	-wa	-wa	-was	-was	-was	-was	-wasj	-y	-y	-wat	-watʁi	-was	-wasj	-wa	-was	-was	-watʁ	-was	-y	-y
C60	2	-wa	-wa	-yv	-yv	-wav	-yv	-yvj	-y	-y	-wa	-waʁ	-wav	-yvj	-wa	-yv	-yv	-waʁ	-yv	-y	-y
C61	2	-	-	-	-	-	-	-j	-	-	-	-ʁ	-	-j	-	-	-	-ʁ	-	-	-
C62	3	-	-	-	-	-	-	-j	-	-	-	-ʁ	-	-j	-	-	-	-ʁ	-	-	-z
C63	3	-	-	-z	-z	-z	-z	-zj	-zi	-zi	-d	-dʁi	-z	-zj	-	-z	-z	-dʁ	-z	-zy	-zy
C64	3	-	-	-l	-l	-l	-l	-lj	-ly	-ly	-d	-dʁi	-l	-lj	-	-l	-l	-dʁ	-l	-ly	-ly
C65	3	-	-	-v	-v	-v	-v	-vj	-vi	-vi	-v	-vʁi	-v	-vj	-	-v	-v	-vʁ	-v	-vi	-vi
C66	3	-i	-i	-iv	-iv	-iv	-iv	-ivj	-ɛky	-ɛky	-iv	-ivʁi	-iv	-ivj	-i	-iv	-iv	-ivʁ	-iv	-ɛky	-ɛky
C67	4	-i	-i	-iz	-iz	-iz	-iz	-izj	-y	-y	-i	-iʁ	-iz	-izj	-i	-iz	-iz	-iʁ	-iz	-y	-y
C68	7	-	-	-z	!dit	-z	-z	-zj	-	-	-	-ʁ	-z	-zj	-	-z	!dit	-ʁ	-z	-	-t
C69	2	-i	-i	-ij	-ij	-i	-ij	-ij	-i	-i	-i	-iʁ	-i	-ij	-i	-ij	-ij	-iʁ	-j	-i	-i
C70	11	-	-	-v	-v	-v	-v	-vj	-vi	-vi	-	-ʁ	-v	-vj	-	-v	-v	-ʁ	-v	-	-t
C71	5	-	-	-z	-z	-z	-z	-zj	-	-	-	-ʁ	-z	-zj	-	-z	-z	-ʁ	-z	-	-t
C72	24	-	-	-z	-z	-z	-z	-zj	-zi	-zi	-	-ʁ	-z	-zj	-	-z	-z	-ʁ	-z	-	-t
