class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C13	14	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-	-í-ur	-í-ur	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
C14	1	-í-a	-í-	-í-um	-í-ið	-í-andi	-e-ið	-í-	-í-ur	-í-ur	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
C15	1	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-i	-í-ir	-í-ir	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
C16	4	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-	-í-	-í-	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
C17	1	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-	-í-	-í-	-í-um	-í-ið	-í-a	-ei-	-ei-t	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
C18	3	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-	-í-ur	-í-ur	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-jum	-i-juð	-i-ju
C19	2	-í-ja	-í-	-í-jum	-í-ið	-í-jandi	-i-ið	-í-	-í-ur	-í-ur	-í-jum	-í-ið	-í-ja	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-jum	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-jum	-i-juð	-i-ju
C20	4	-jó-a	-jó-a	-jó-um	-jó-ið	-jó-andi	-o-ið	-ý-	-ý-ur	-ý-ur	-jó-um	-jó-ið	-jó-a	-au-	-au-st	-au-	-u-um	-u-uð	-u-u	-jó-i	-jó-ir	-jó-i	-jó-um	-jó-ið	-jó-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C21	12	-jó-a	-jó-	-jó-um	-jó-ið	-jó-andi	-o-ið	-ý-	-ý-ur	-ý-ur	-jó-um	-jó-ið	-jó-a	-au-	-au-st	-au-	-u-um	-u-uð	-u-u	-jó-i	-jó-ir	-jó-i	-jó-um	-jó-ið	-jó-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C22	13	-jú-a	-jú-	-jú-um	-jú-ið	-jú-andi	-o-ið	-ý-	-ý-ur	-ý-ur	-jú-um	-jú-ið	-jú-a	-au-	-au-st	-au-	-u-um	-u-uð	-u-u	-jú-i	-jú-ir	-jú-i	-jú-um	-jú-ið	-jú-i	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C23	2	-ú-a	-ú-	-ú-um	-ú-ið	-ú-andi	-o-ið	-ý-	-ý-ur	-ý-ur	-ú-um	-ú-ið	-ú-a	-au-	-au-st	-au-	-u-um	-u-uð	-u-u	-ú-i	-ú-ir	-ú-i	-ú-um	-ú-ið	-ú-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C24	5	-jó-a	-jó-	-jó-um	-jó-ið	-jó-andi	-o-ið	-ý-	-ý-t	-ý-	-jó-um	-jó-ið	-jó-a	-au-	-au-st	-au-	-u-um	-u-uð	-u-u	-jó-i	-jó-ir	-jó-i	-jó-um	-jó-ið	-jó-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C25	1	-e-a	-e-	-e-um	-e-ið	-e-andi	!o2Sið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	!u2Sum	!u2Suð	!u2Su	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	!y2Si	!y2Sir	!y2Si	!y2Sum	!y2Suð	!y2Su
C26	5	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-u-um	-u-uð	-u-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C27	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-	-a-	-u-um	-u-uð	-u-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C28	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-u-um	-u-uð	-u-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C29	3	-i-a	-i-	-i-um	-i-ið	-i-andi	-u-ið	-i-	-i-ur	-i-ur	-i-um	-i-ið	-i-a	-a-	-a-st	-a-	-u-um	-u-uð	-u-u	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C30	1	-i-a	-i-	-i-um	-i-ið	-i-andi	!u2Sið	-i-	-i-ur	-i-ur	-i-um	-i-ið	-i-a	-a-	-a-st	-a-	!u2Sum	!u2Sið	!u2Su	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	!y2Si	!y2Sir	!y2Si	!y2Sum	!y2Suð	!y2Su
C31	2	-egð-a	-egð-	-egð-um	-egð-ið	-egð-andi	-ugð-ið	-egð-	-egð-ur	-egð-ur	-egð-um	-egð-ið	-egð-a	-á-	-á-st	-á-	-ugð-um	-ugð-uð	-ug-ðu	-egð-i	-egð-ir	-egð-i	-egð-um	-egð-ið	-egð-i	-ygð-i	-ygð-ir	-ygð-i	-ygð-um	-ygð-uð	-ygð-u
C32	3	-ö-va	-ö-	-ö-vum	-ö-við	-ö-vandi	-o-ið	-e-	-e-ur	-e-ur	-ö-vum	-ö-við	-ö-va	-ö-	-ö-st	-ö-	-u-um	-u-uð	-u-u	-ö-vi	-ö-vir	-ö-vi	-ö-vum	-ö-við	-ö-vi	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C33	1	-y-ja	-y-	-y-jum	-y-ið	-y-jandi	-u-ið	-y-	-y-ur	-y-ur	-y-jum	-y-ið	-y-ja	-ö-	-ö-st	-ö-	-u-um	-u-uð	-u-u	-y-i	-y-ir	-y-i	-y-jum	-y-ið	-y-i	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C34	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-i	-e-ir	-e-ir	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-u-um	-u-uð	-u-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C35	4	-ja-a	-ja-	-jö-um	-ja-ið	-ja-andi	-o-ið	-e-	-e-ur	-e-ur	-jö-um	-ja-ið	-ja-a	!1Salt	-a-st	!1Salt	-u-um	-u-uð	-u-u	-ja-i	-ja-ir	-ja-i	-jö-um	-ja-ið	-ja-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C36	5	-ve-a	-ve-	-ve-um	-ve-ið	-ve-andi	-o-ið	-ve-	-ve-ur	-ve-ur	-ve-um	-ve-ið	-ve-a	-va-	-va-st	-va-	-u-um	-u-uð	-u-u	-ve-i	-ve-ir	-ve-i	-ve-um	-ve-ið	-ve-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C37	3	-ve-a	-ve-	-ve-um	-ve-ið	-ve-andi	-o-ið	-ve-	-ve-ur	-ve-ur	-ve-um	-ve-ið	-ve-a	-va-	-va-st	-va-	-u-um	-u-uð	-u-u	-ve-i	-ve-ir	-ve-i	-ve-um	-ve-ið	-ve-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C38	1	-ve-ja	-ve-	-ve-jum	-ve-ið	-ve-jandi	-o-ið	-ve-	-ve-ur	-ve-ur	-ve-jum	-ve-ið	-ve-ja	-va-	-va-st	-va-	-u-um	-u-uð	-u-u	-ve-i	-ve-ir	-ve-i	-ve-jum	-ve-ið	-ve-i	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C39	1	-i-Da	-i-D	-i-Dum	-i-Dið	-i-Dandi	-u-dið	-i-D	-i-Dur	-i-Dur	-i-Dum	-i-Dið	-i-Da	-a-D	-a-Dst	-a-D	-u-ðum	-u-ðuð	-u-ðu	-i-Di	-i-Dir	-i-Di	-i-Dum	-i-Dið	-i-Di	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C40	1	-i-a	-i-	-i-um	-i-ið	-i-andi	-u-ið	-i-	-i-ur	-i-ur	-i-um	-i-ið	-i-a	!1Sakk	!1Sakkst	!1Sakk	-u-um	-u-uð	-u-u	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C41	1	-i-a	-i-	-i-um	-i-ið	-i-andi	-u-ið	-i-	-i-ur	-i-ur	-i-um	-i-ið	-i-a	!1Satt	!1Sast	!1Satt	-u-um	-u-uð	-u-u	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C42	3	-i-a	-i-	-i-um	-i-ið	-i-andi	!u2Sið	-i-	-i-ur	-i-ur	-i-um	-i-ið	-i-a	!1Satt	!1Sast	!1Satt	!u2Sum	!u2Suð	!u2Su	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	!y2Si	!y2Sir	!y2Si	!y2Sum	!y2Suð	!y2Su
C43	3	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-	-e-ð	-e-	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C44	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-o-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C45	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-u-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C46	1	-o-a	-o-	-o-um	-o-ið	-o-andi	-o-ið	-e-	-e-ur	-e-ur	-o-um	-o-ið	-o-a	-va-	-va-st	-va-	-vá-um	-vá-uð	-vá-u	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-væ-i	-væ-ir	-væ-i	-væ-um	-væ-uð	-væ-u
C47	1	-o-a	-o-	-o-um	-o-ið	-o-andi	-o-ið	-e-	-e-ur	-e-ur	-o-um	-o-ið	-o-a	-o-	-o-st	-o-	-o-um	-o-uð	-o-u	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C48	1	-e-a	-e-	-e-um	-e-ið	-e-andi	!o2Sið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	!ó2S	!ó2Sst	!ó2S	!ó2Sum	!ó2Suð	!ó2Su	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C49	2	-o-a	-o-	-o-um	-o-ið	-o-andi	-o-ið	-e-	-e-ur	-e-ur	-o-um	-o-ið	-o-a	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C50	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-e-ið	!e2S	!e2St	!e2S	!e2Sum	!e2Suð	!e2Su	-a-	-a-st	-a-	-o-um	-o-uð	-o-u	!sé	!sé2St	!sé	!séum	!séuð	!séu	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C51	5	-e-a	-e-	-e-um	-e-ið	-e-andi	-e-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C52	2	-e-a	-e-	-e-um	-e-ið	-e-andi	-e-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C53	4	-e-a	-e-	-e-um	-e-ið	-e-andi	-e-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C54	1	-i-ja	-i-	-i-jum	-i-jið	-i-jandi	-e-ið	-i-	-i-ur	-i-ur	-i-jum	-i-jið	-i-ja	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-i-ji	-i-jir	-i-ji	-i-jum	-i-jið	-i-ji	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C55	1	-i-ja	-i-	-i-jum	-i-jið	-i-jandi	-e-ið	-i-	-i-ur	-i-ur	-i-jum	-i-jið	-i-ja	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-i-ji	-i-jir	-i-ji	-i-jum	-i-jið	-i-ji	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C56	1	-vi-Da	-vi-D	-vi-Dum	-vi-Dið	-vi-Dandi	-u-ið	-vi-D	-vi-Dur	-vi-Dur	-vi-Dum	-vi-Dið	-vi-Da	-va-	-va-st	-va-	-vá-um	-vá-uð	-vá-u	-vi-Di	-vi-Dir	-vi-Di	-vi-Dum	-vi-Dið	-vi-Di	-væ-i	-væ-ir	-væ-i	-væ-um	-væ-uð	-væ-u
C57	2	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-ið	-∅-	-∅-ur	-∅-ur	-∅-um	-∅-ið	-∅-a	!á2S	!á2Sst	!á2S	!á2Sum	!á2Suð	!á2Su	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	!æ2Si	!æ2Sir	!æ2Si	!æ2Sum	!æ2Suð	!æ2Su
C58	2	-i-Dja	-i-D	-i-Djum	-i-Dið	-i-Djandi	-e-ið	-i-D	-i-Dur	-i-Dur	-i-Djum	-i-Dið	-i-Dja	!1Sá	!1Sást	!1Sá	-á-um	-á-uð	-á-u	-i-Di	-i-Dir	-i-Di	-i-Djum	-i-Dið	-i-Di	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C59	1	-já-	-já-	-já-um	-já-ið	-já-andi	-é-ð	-é-	-é-rð	-é-r	-já-um	-já-ið	-já-	-á-	-á-st	-á-	-á-um	-á-uð	-á-u	-já-i	-já-ir	-já-i	-já-um	-já-ið	-já-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C60	1	-e-na	-e-n	-e-num	-e-nið	-e-nandi	-e-ið	-e-na	-e-nar	-e-nar	-e-num	-e-nið	-e-na	!1Sá	!1Sást	!1Sá	-á-um	-á-uð	-á-u	-e-ni	-e-nir	-e-ni	-e-num	-e-nið	-e-ni	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C61	2	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-ð	-e-	-ö-um	-a-ið	-a-a	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C62	6	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C63	4	-a-a	-a-	-ö-um	-a-ið	-a-andi	-e-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C64	1	-va-da	-ve-d	-vö-dum	-va-dið	-va-dandi	-va-dið	-ve-d	-ve-dur	-ve-dur	-vö-dum	-va-dið	-va-da	-o-Di	-o-Dir	-o-Di	-o-Dum	-o-Duð	-o-Du	-va-di	-va-dir	-va-di	-vö-dum	-va-dið	-va-di	-y-Di	-y-Dir	-y-Di	-y-Dum	-y-Duð	-y-Du
C65	1	!1Sæja	!1Sæ	!1Sæjum	!1Sæið	!1Sæjandi	-e-ið	!1Sæ	!1Særð	!1Sær	!1Sæjum	!1Sæið	!1Sæja	!1Só	!1Sóst	!1Só	-ó-um	-ó-uð	-ó-u	!1Sæi	!1Sæir	!1Sæi	!1Sæjum	!1Sæið	!1Sæi	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C66	1	-ö-va	-ö-	-ö-vum	-ö-við	-ö-vandi	-ö-við	-e-	-e-ur	-e-ur	-ö-vum	-ö-við	-ö-va	!1Sjó	!1Sjóst	!1Sjó	-ju-um	-ju-uð	-ju-u	-ö-vi	-ö-vir	-ö-vi	-ö-vum	-ö-við	-ö-vi	-y-i	-y-ir	-y-i	-y-jum	-y-juð	-y-ju
C67	1	-an-a	-an-	-ön-um	-an-ið	-an-andi	-a-ið	-en-	-en-ur	-en-ur	-ön-um	-an-ið	-an-a	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-an-i	-an-ir	-an-i	-ön-um	-an-ið	-an-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C68	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-a-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	-a-	-a-st	-a-	-á-um	-á-uð	-á-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C69	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	!ó2S	!ó2Sst	!ó2S	!ó2Sum	!ó2Suð	!ó2Su	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C70	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-	-e-	-ö-um	-a-ið	-a-a	!ó2S	!ó2Sst	!ó2S	!u2Sum	!u2Suð	!u2Su	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	!y2Si	!y2Sir	!y2Si	!y2Sum	!y2Suð	!y2Su
C71	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-e-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	!1Só	!1Sóst	!1Só	-ó-um	-ó-uð	-ó-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C72	1	-e-a	-e-	-e-um	-e-ið	-e-andi	-e-ið	-e-	-e-ur	-e-ur	-e-um	-e-ið	-e-a	!1Só	!1Sóst	!1Só	-ó-um	-ó-uð	-ó-u	-e-i	-e-ir	-e-i	-e-um	-e-ið	-e-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C73	1	-e-ja	-e-	-e-jum	-e-jið	-e-jandi	-a-ið	-e-	-e-ur	-e-ur	-e-jum	-e-jið	-e-ja	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-e-ji	-e-jir	-e-ji	-e-jum	-e-jið	-e-ji	-æ-i	-æ-ir	-æ-i	-æ-um	-æ-uð	-æ-u
C74	1	-ve-ja	-ve-	-ve-jum	-ve-jið	-ve-jandi	-va-ið	-ve-	-ve-ð	-ve-	-ve-jum	-ve-jið	-ve-ja	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-ve-ji	-ve-jir	-ve-ji	-ve-jum	-ve-jið	-ve-ji	-væ-i	-væ-ir	-væ-i	-væ-um	-væ-uð	-væ-u
C75	1	-ey-ja	-ey-	-ey-jum	-ey-ið	-ey-jandi	-á-ið	-ey-	-ey-rð	-ey-r	-ey-jum	-ey-ið	-ey-ja	-ó-	-ó-st	-ó-	-ó-um	-ó-uð	-ó-u	-ey-i	-ey-ir	-ey-i	-ey-jum	-ey-ið	-ey-i	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C76	3	!1Sá	!1Sáðu	!1Sáum	!1Sáið	!1Sáandi	-e-ið	!1Sæ	!1Særð	!1Sær	!1Sáum	!1Sáið	!1Sá	!1Só	!1Sóst	!1Só	-ó-um	-ó-uð	-ó-u	!1Sái	!1Sáir	!1Sái	!1Sáum	!1Sáið	!1Sái	-æ-i	-æ-ir	-æ-i	-æ-jum	-æ-juð	-æ-ju
C77	1	-ei-a	-ei-	-ei-um	-ei-ið	-ei-andi	-ei-ið	-ei-	-ei-ur	-ei-ur	-ei-um	-ei-ið	-ei-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-ei-i	-ei-ir	-ei-i	-ei-um	-ei-ið	-ei-i	-é-i	-é-ir	-é-i	-é-jum	-é-juð	-é-ju
C78	1	-au-a	-au-	-au-um	-au-ið	-au-andi	-au-ið	-ey-	-ey-ur	-ey-ur	-au-um	-au-ið	-au-a	-jó-	-jó-st	-jó-	-ju-um	-ju-uð	-ju-u	-au-i	-au-ir	-au-i	-au-um	-au-ið	-au-i	-(j)y-i	-(j)y-ir	-(j)y-i	-(j)y-jum	-(j)y-juð	-(j)y-ju
C79	1	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-ið	!ey2S	!ey2St	!ey2S	-∅-um	-∅-ið	-∅-a	!jó2S	!jó2Sst	!jó2S	!ju2Sum	!ju2Suð	!ju2Su	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	!jy2Si	!jy2Sir	!jy2Si	!jy2Sum	!jy2Suð	!jy2Su
C80	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C81	2	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	!1Sélt	-é-st	!1Sélt	-é-um	-é-uð	-é-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C82	1	-á-a	-á-	-á-um	-á-ið	-á-andi	-á-ið	-æ-	-æ-ur	-æ-ur	-á-um	-á-ið	-á-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-á-i	-á-ir	-á-i	-á-um	-á-ið	-á-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C83	1	-á-a	-á-	-á-um	-á-ið	-á-andi	-á-ið	-æ-	-æ-t	-æ-	-á-um	-á-ið	-á-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-á-i	-á-ir	-á-i	-á-um	-á-ið	-á-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C84	2	-á-a	-á-	-á-um	-á-ið	-á-andi	-á-ið	-æ-	-æ-ur	-æ-ur	-á-um	-á-ið	-á-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-á-i	-á-ir	-á-i	-á-um	-á-ið	-á-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C85	1	-ei-a	!?	!?	!?	-ei-andi	-ei-ið	-ei-i	-ei-ir	-ei-ir	-ei-um	-ei-ið	-ei-a	-é-	-é-st	-é-	-é-um	-é-uð	-é-u	-ei-i	-ei-ir	-ei-i	-ei-um	-ei-ið	-ei-i	-é-i	-é-ir	-é-i	-é-um	-é-uð	-é-u
C86	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-ið	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	!1Sékk	!1Sékkst	!1Sékk	-é-um	-é-uð	-é-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-é-i	-é-ir	-é-i	-é-jum	-é-juð	-é-ju
C87	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-e-ið	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	!1Sekk	!1Sekkst	!1Sekk	-e-um	-e-uð	-e-u	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-e-i	-e-ir	-e-i	-e-jum	-e-juð	-e-ju
C88	2	!1Sá	!1Sáðu	!1Sáum	!1Sáið	!1Sáandi	-e-ið	!1Sæ	!1Særð	!1Sær	!1Sáum	!1Sáið	!1Sá	!1Sékk	!1Sékkst	!1Sékk	-e-um	-e-uð	-e-u	!1Sái	!1Sáir	!1Sái	!1Sáum	!1Sáið	!1Sái	-e-i	-e-ir	-e-i	-e-jum	-e-juð	-e-ju
C89	1	-au-a	-au-	-au-um	-au-ið	-au-andi	-au-ið	-ey-	-ey-ur	-ey-ur	-au-um	-au-ið	-au-a	-jó-	-jó-st	-jó-	-u-um	-u-uð	-u-u	-au-i	-au-ir	-au-i	-au-um	-au-ið	-au-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
