class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C131	17	-∅-ja	-∅-	-∅-jum	-∅-ið	-∅-jandi	-∅-t	-∅-i	-∅-ir	-∅-ir	-∅-jum	-∅-ið	-∅-ja	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu	-∅-i	-∅-ir	-∅-i	-∅-jum	-∅-ið	-∅-i	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu
C132	14	-∅-da	-∅-d	-∅-dum	-∅-dið	-∅-dandi	-∅-t	-∅-di	-∅-dir	-∅-dir	-∅-dum	-∅-dið	-∅-da	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu	-∅-di	-∅-dir	-∅-di	-∅-dum	-∅-dið	-∅-di	-∅-ti	-∅-tir	-∅-ti	-∅-tum	-∅-tuð	-∅-tu
C133	32	-∅-a	-∅-	-∅-um	-∅-ið	-∅-andi	-∅-	-∅-i	-∅-ir	-∅-ir	-∅-um	-∅-ið	-∅-a	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-uð	-∅-u	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-ið	-∅-i	-∅-i	-∅-ir	-∅-i	-∅-um	-∅-uð	-∅-u
C134	1	-ö-va	-ö-	-ö-vum	-ö-við	-ö-vandi	-ö-t	-e-	-e-ur	-e-ur	-ö-vum	-ö-við	-ö-va	-ö-ti	-ö-tir	-ö-ti	-ö-tum	-ö-tuð	-ö-tu	-ö-vi	-ö-vir	-ö-vi	-ö-vum	-ö-við	-ö-vi	-e-ti	-e-tir	-e-ti	-e-tum	-e-tuð	-e-tu
C135	2	-ö-va	-ö-	-ö-vum	-ö-við	-ö-vandi	-ö-t	-ö-vi	-ö-vir	-ö-vir	-ö-vum	-ö-við	-ö-va	-ö-ti	-ö-tir	-ö-ti	-ö-tum	-ö-tuð	-ö-tu	-ö-vi	-ö-vir	-ö-vi	-ö-vum	-ö-við	-ö-vi	-e-ti	-e-tir	-e-ti	-e-tum	-e-tuð	-e-tu
C136	1	-au-a	-au-	-au-um	-au-ið	-au-andi	-ey-t	-au-i	-au-ir	-au-ir	-au-um	-au-ið	-au-a	-ey-ði	-ey-ðir	-ey-ði	-ey-ðum	-ey-ðuð	-ey-ðu	-au-i	-au-ir	-au-i	-au-um	-au-ið	-au-i	-ey-ði	-ey-ðir	-ey-ði	-ey-ðum	-ey-ðuð	-ey-ðu
C137	1	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-t	-e-	-e-ur	-e-ur	-ö-um	-a-ið	-a-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-e-ði	-e-ðir	-e-ði	-e-ðum	-e-ðuð	-e-ðu
C138	1	-a-a	-a-a	-ö-um	-a-ið	-a-andi	-a-að	-a-a	-a-ar	-a-ar	-ö-um	-a-ið	-a-a	-a-aði	-a-aðir	-a-aði	-ö-uðum	-ö-uðuð	-ö-uðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-a-aði	-a-aðir	-a-aði	-ö-uðum	-ö-uðuð	-ö-uðu
C139	4	-o-a	-o-	-o-um	-o-ið	-o-andi	-o-að	-o-i	-o-ir	-o-ir	-o-um	-o-ið	-o-a	-o-ði	-o-ðir	-o-ði	-o-ðum	-o-ðuð	-o-ðu	-o-i	-o-ir	-o-i	-o-um	-o-ið	-o-i	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C140	5	-a-a	-a-	-ö-um	-a-ið	-a-andi	-a-að	-a-i	-a-ir	-a-ir	-ö-um	-a-ið	-a-a	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu	-a-i	-a-ir	-a-i	-ö-um	-a-ið	-a-i	-a-ði	-a-ðir	-a-ði	-ö-ðum	-ö-ðuð	-ö-ðu
